cb_2020_3,dist_water_m
1400000US36083052201,879.3409165913621
1400000US36083052203,801.8046404713423
1400000US36083052204,900.7743357966407
1400000US36083052301,1176.2128085279494
1400000US36083052303,389.5713933455939
1400000US36083052305,847.4024066695135
1400000US36083052306,1489.7070567008043
1400000US36083052402,806.2408211946366
1400000US36083052405,681.0617686164081
1400000US36083052406,1269.6086225802853
1400000US36083052407,1306.1453769761795
1400000US36083052408,922.1227098411026
1400000US36083052501,977.0920081920781
1400000US36083052502,766.6584295211821
1400000US36083052503,501.2617899599341
1400000US36083052601,814.7122658792908
1400000US36083052602,1280.1129002134605
1400000US36083052603,1197.7360301428846
1400000US36091060102,495.25627770503377
1400000US36091060103,811.7589743288212
1400000US36091060104,1855.0439722846631
1400000US36091060200,382.2552669586953
1400000US36091060301,606.1949205069118
1400000US36091060400,429.256795655842
1400000US36091060501,865.2545520862708
1400000US36091060504,853.5597929401531
1400000US36091060505,1141.9883840549287
1400000US36091060506,1216.025341318523
1400000US36091060507,828.3199622896951
1400000US36091060601,796.6874639298126
1400000US36091060602,1344.4549461600573
1400000US36091060703,1726.232539138081
1400000US36091060704,1968.335164732
1400000US36091060705,1100.9077448755459
1400000US36091060706,722.6375839024946
1400000US36091060800,1799.9908507218652
1400000US36091060901,874.2187326660147
1400000US36091060902,232.32612254507785
1400000US36091061001,1307.848432982073
1400000US36091061002,1979.588087861359
1400000US36091061101,801.3307880422453
1400000US36091061102,768.8870227251386
1400000US36091061201,1491.3279980054774
1400000US36091061202,1769.4585092017392
1400000US36091061301,768.2997031656033
1400000US36091061303,1283.6194955613369
1400000US36091061304,1119.5233161161611
1400000US36091061305,994.8155286109354
1400000US36091061401,1233.3014766479582
1400000US36091061403,1505.1696932577966
1400000US36091061404,1000.8936134989439
1400000US36091061500,757.003663609725
1400000US36091061600,819.1268774292428
1400000US36091061701,1197.8688720366345
1400000US36091061702,1378.9766179569642
1400000US36091061800,834.2578688636075
1400000US36091061904,1066.5946876347434
1400000US36091061905,620.4812975849976
1400000US36091061906,404.3171387590598
1400000US36091061907,1381.4335660710863
1400000US36091062001,930.69857935741
1400000US36091062002,782.7612965031783
1400000US36091062100,282.6282414336358
1400000US36091062200,384.09952700825767
1400000US36091062300,777.8755900707074
1400000US36091062404,1143.1523904833136
1400000US36091062406,1577.6987828672998
1400000US36091062407,859.5595044531824
1400000US36091062408,962.1643278879503
1400000US36091062409,977.2493079580016
1400000US36091062410,941.9197147979428
1400000US36091062501,1252.2022042863127
1400000US36091062503,603.2915257044917
1400000US36091062505,1134.0107216907413
1400000US36091062506,1239.319571390348
1400000US36091062507,360.90832648678594
1400000US36091062508,1823.946634974384
1400000US36091062509,1607.5451275921146
1400000US36091062601,962.413365617606
1400000US36091062602,1261.462280540927
1400000US36091062700,372.42468461929
1400000US36091062800,156.81874341751998
1400000US36091062900,1133.306074272051
1400000US36093020101,697.6566298589347
1400000US36093020102,460.5316604106798
1400000US36093020200,306.2843364909283
1400000US36093020300,390.5847636529144
1400000US36093020500,1121.6807613277865
1400000US36093020600,563.789958803422
1400000US36093020700,633.502853585617
1400000US36093020800,1371.0121385463328
1400000US36093020900,1747.2183679090876
1400000US36093021001,905.3029035787478
1400000US36093021002,1248.3921260098175
1400000US36093021200,943.8096379935405
1400000US36093021400,1359.353829450403
